file_name_pattern,cccc_pattern,ttaaii_pattern,access_control,format,category,subcategory,file_extension,text_pattern
^.*$,^EUM.$,^IEAX[0-9][0-9]$,open,bufr,satellite,amsua,bin,
^.*$,^EUM.$,^IEIX[0-9][0-9]$,open,bufr,satellite,iasi,bin,
^.*$,^EUM.$,^IEMX[0-9][0-9]$,open,bufr,satellite,mhs,bin,
^.*$,^EUM.$,^IEHX[0-9][0-9]$,open,bufr,satellite,hirs,bin,
^.*$,^.*$,^INA[A-Z][0-9][0-9]$,open,bufr,satellite,amsua,bin,
^.*$,^.*$,^INC[A-Z][0-9][0-9]$,open,bufr,satellite,cris,bin,
^.*$,^.*$,^INH[A-Z][0-9][0-9]$,open,bufr,satellite,hirs,bin,
^.*$,^.*$,^INK[A-Z][0-9][0-9]$,open,bufr,satellite,mwhs,bin,
^.*$,^.*$,^INM[A-Z][0-9][0-9]$,open,bufr,satellite,mhs,bin,
^.*$,^.*$,^INQ[A-Z][0-9][0-9]$,open,bufr,satellite,iasi,bin,
^.*$,^.*$,^INS[A-Z][0-9][0-9]$,open,bufr,satellite,atms,bin,
^.*$,^.*$,^INT[A-Z][0-9][0-9]$,open,bufr,satellite,mwts,bin,
^.*$,^.*$,^I[RUWX]F[A-Z][0-9][0-9]$,open,bufr,satellite,asr,bin,
^.*$,^.*$,^I[RUWX]R[A-Z][0-9][0-9]$,open,bufr,satellite,csr,bin,
^.*$,^.*$,^I[RUWX]V[A-Z][0-9][0-9]$,open,bufr,satellite,amv,bin,
^.*$,^.*$,^IOB[A-Z][0-9][0-9]$,open,bufr,surface,buoy,bin,
^.*$,^.*$,^ISA[A-Z][0-9][0-9]$,open,bufr,surface,aws,bin,
^.*$,^.*$,^IS[IMN][A-Z][0-9][0-9]$,open,bufr,surface,synop,bin,
^.*$,^.*$,^ISS[A-Z][0-9][0-9]$,open,bufr,surface,ship,bin,
^.*$,^.*$,^ISX[A-Z][0-9][0-9]$,open,bufr,surface,gps_pwv,bin,
^.*$,^.*$,^IU[AO][A-Z][0-9][0-9]$,open,bufr,upper_air,amdar,bin,
^.*$,^.*$,^IUD[A-Z][0-9][0-9]$,open,bufr,upper_air,temp_drop,bin,
^.*$,^.*$,^IU[JW][A-Z][0-9][0-9]$,open,bufr,upper_air,pilot,bin,
^.*$,^.*$,^IU[KS][A-Z][0-9][0-9]$,open,bufr,upper_air,temp,bin,
^.*$,^.*$,^IUP[A-Z][0-9][0-9]$,open,bufr,upper_air,wind_profiler,bin,
^.*$,^.*$,^IUQ[A-Z][0-9][0-9]$,open,bufr,upper_air,temperature_profiler,bin,
^.*$,^.*$,^IUT[A-Z]14$,open,bufr,satellite,gnss_ro,bin,
^.*$,^KNES$,^J[A-Z][A-Z][A-Z][0-9][0-9]$,open,bufr,satellite,amv,bin,
^.*$,^.*$,^AC[A-Z][A-Z][0-9][0-9]$,open,an,analyses,cyclone_text,txt,
^.*$,^.*$,^AG[A-Z][A-Z][0-9][0-9]$,open,an,analyses,hydrological_or_marine_text,txt,
^.*$,^.*$,^AH[A-Z][A-Z][0-9][0-9]$,open,an,analyses,thickness_text,txt,
^.*$,^.*$,^AI[A-Z][A-Z][0-9][0-9]$,open,an,analyses,icean,txt,
^.*$,^.*$,^AO[A-Z][A-Z][0-9][0-9]$,open,an,analyses,ozon_layer_text,txt,
^.*$,^.*$,^AR[A-Z][A-Z][0-9][0-9]$,open,an,analyses,radar_text,txt,
^.*$,^.*$,^AS[A-Z][A-Z][0-9][0-9]$,open,an,analyses,surface_iac,txt,
^.*$,^.*$,^AU[A-Z][A-Z][0-9][0-9]$,open,an,analyses,upper_air_iac,txt,
^.*$,^.*$,^AW[A-Z][A-Z][0-9][0-9]$,open,an,analyses,weather_summary_text,txt,
^.*$,^.*$,^AX[A-Z][A-Z][0-9][0-9]$,open,an,analyses,miscellaneous_text,txt,
^.*$,^.*$,^CE[A-Z][A-Z][0-9][0-9]$,open,an,climatic,climat_temp_ship,txt,
^.*$,^.*$,^CH[A-Z][A-Z][0-9][0-9]$,open,an,climatic,climat_ship,txt,
^.*$,^.*$,^CS[A-Z][A-Z][0-9][0-9]$,open,an,climatic,climat,txt,
^.*$,^.*$,^FA[A-Z][A-Z][0-9][0-9]$,open,an,forcast,arfor,txt,
^.*$,^.*$,^FB[A-Z][A-Z][0-9][0-9]$,open,an,forcast,wintem,txt,
^.*$,^.*$,^FC[A-Z][A-Z][0-9][0-9]$,open,an,forcast,short_taf,txt,
^.*$,^.*$,^FD[A-Z][A-Z][0-9][0-9]$,open,an,forcast,radof,txt,
^.*$,^.*$,^FE[A-Z][A-Z][0-9][0-9]$,open,an,forcast,extended_text,txt,
^.*$,^.*$,^FF[A-Z][A-Z][0-9][0-9]$,open,an,forcast,iac_fleet,txt,
^.*$,^.*$,^FG[A-Z][A-Z][0-9][0-9]$,open,an,forcast,hyfor,txt,
^.*$,^.*$,^FH[A-Z][A-Z][0-9][0-9]$,open,an,forcast,upper_air_thickness_text,txt,
^.*$,^.*$,^FI[A-Z][A-Z][0-9][0-9]$,open,an,forcast,iceberg_text,txt,
^.*$,^.*$,^FJ[A-Z][A-Z][0-9][0-9]$,open,an,forcast,radio_warning_service_text,txt,
^.*$,^.*$,^FK[A-Z][A-Z][0-9][0-9]$,open,an,forcast,tropical_cyclone_advisories_text,txt,
^.*$,^.*$,^FL[A-Z][A-Z][0-9][0-9]$,open,an,forcast,local_or_area_text,txt,
^.*$,^.*$,^FM[A-Z][A-Z][0-9][0-9]$,open,an,forcast,temperature_extremes_text,txt,
^.*$,^.*$,^FO[A-Z][A-Z][0-9][0-9]$,open,an,forcast,guidance_text,txt,
^.*$,^.*$,^FP[A-Z][A-Z][0-9][0-9]$,open,an,forcast,public_text,txt,
^.*$,^.*$,^FQ[A-Z][A-Z][0-9][0-9]$,open,an,forcast,other_shipping_text,txt,
^.*$,^.*$,^FR[A-Z][A-Z][0-9][0-9]$,open,an,forcast,rofor,txt,
^.*$,^.*$,^FS[A-Z][A-Z][0-9][0-9]$,open,an,forcast,surface_iac,txt,
^.*$,^.*$,^FT[A-Z][A-Z][0-9][0-9]$,open,an,forcast,long_taf,txt,
^.*$,^.*$,^FU[A-Z][A-Z][0-9][0-9]$,open,an,forcast,upper_air_iac,txt,
^.*$,^.*$,^FV[A-Z][A-Z][0-9][0-9]$,open,an,forcast,volcanic_ash_advisories_text,txt,
^.*$,^.*$,^FW[A-Z][A-Z][0-9][0-9]$,open,an,forcast,winter_sports_text,txt,
^.*$,^.*$,^FX[A-Z][A-Z][0-9][0-9]$,open,an,forcast,miscellaneous_text,txt,
^.*$,^.*$,^FZ[A-Z][A-Z][0-9][0-9]$,open,an,forcast,mafor,txt,
^.*$,^.*$,^NG[A-Z][A-Z][0-9][0-9]$,open,an,notice,hydrological_text,txt,
^.*$,^.*$,^NH[A-Z][A-Z][0-9][0-9]$,open,an,notice,marine_text,txt,
^.*$,^.*$,^NN[A-Z][A-Z][0-9][0-9]$,open,an,notice,nuclear_emergency_response_text,txt,
^.*$,^.*$,^NO[A-Z][A-Z][0-9][0-9]$,open,an,notice,mento_text,txt,
^.*$,^.*$,^NP[A-Z][A-Z][0-9][0-9]$,open,an,notice,product_generation_delay_text,txt,
^.*$,^.*$,^NT[A-Z][A-Z][0-9][0-9]$,open,an,notice,test_text,txt,
^.*$,^.*$,^NW[A-Z][A-Z][0-9][0-9]$,open,an,notice,warning_related_cancellation_text,txt,
^.*$,^.*$,^SA[A-Z][A-Z][0-9][0-9]$,open,an,surface,metar,txt,
^.*$,^.*$,^S[BCD][A-Z][A-Z][0-9][0-9]$,open,an,surface,radob,txt,
^.*$,^.*$,^SE[A-Z][A-Z][0-9][0-9]$,open,an,surface,seismic_data,txt,
^.*$,^.*$,^SF[A-Z][A-Z][0-9][0-9]$,open,an,surface,atmospheric_data,txt,
^.*$,^.*$,^SG[A-Z][A-Z][0-9][0-9]$,open,an,surface,radrep,txt,
^.*$,^.*$,^S[IMN][A-Z][A-Z][0-9][0-9]$,open,an,surface,ship,txt,^.* BBXX .*$
^.*$,^.*$,^S[IMN][A-Z][A-Z][0-9][0-9]$,open,an,surface,synop,txt,
^.*$,^.*$,^SO[A-Z][A-Z][0-9][0-9]$,open,an,surface,bathy,txt,^.* JJVV .*$
^.*$,^.*$,^SO[A-Z][A-Z][0-9][0-9]$,open,an,surface,tesac,txt,^.* KKYY .*$
^.*$,^.*$,^SO[A-Z][A-Z][0-9][0-9]$,open,an,surface,trackob,txt,^.* NNXX .*$
^.*$,^.*$,^SP[A-Z][A-Z][0-9][0-9]$,open,an,surface,speci,txt,
^.*$,^.*$,^SR[A-Z][A-Z][0-9][0-9]$,open,an,surface,hydra,txt,
^.*$,^.*$,^SS[A-Z][A-Z][0-9][0-9]$,open,an,surface,buoy,txt,
^.*$,^.*$,^ST[A-Z][A-Z][0-9][0-9]$,open,an,surface,sea_ice_text,txt,
^.*$,^.*$,^SU[A-Z][A-Z][0-9][0-9]$,open,an,surface,snow_depth_text,txt,
^.*$,^.*$,^SV[A-Z][A-Z][0-9][0-9]$,open,an,surface,lake_ice_text,txt,
^.*$,^.*$,^SW[A-Z][A-Z][0-9][0-9]$,open,an,surface,waveob,txt,
^.*$,^.*$,^SX[A-Z][A-Z][0-9][0-9]$,open,an,surface,miscellaneous_text,txt,
^.*$,^.*$,^SY[A-Z][A-Z][0-9][0-9]$,open,an,surface,seismic_wave_data,txt,
^.*$,^.*$,^SZ[A-Z][A-Z][0-9][0-9]$,open,an,surface,sea_level_data,txt,
^.*$,^.*$,^TB[A-Z][A-Z][0-9][0-9]$,open,an,satellite,orbit_parameter_text,txt,
^.*$,^.*$,^TC[A-Z][A-Z][0-9][0-9]$,open,an,satellite,sarep,txt,
^.*$,^.*$,^TH[A-Z][A-Z][0-9][0-9]$,open,an,satellite,satem,txt,
^.*$,^.*$,^TR[A-Z][A-Z][0-9][0-9]$,open,an,satellite,sarad,txt,
^.*$,^.*$,^TT[A-Z][A-Z][0-9][0-9]$,open,an,satellite,sea_surface_temperature_satob,txt,
^.*$,^.*$,^TW[A-Z][A-Z][0-9][0-9]$,open,an,satellite,wind_cloud_temperature_satob,txt,
^.*$,^.*$,^TX[A-Z][A-Z][0-9][0-9]$,open,an,satellite,miscellaneous_text,txt,
^.*$,^.*$,^UA[A-Z][A-Z][0-9][0-9]$,open,an,upper_air,airep,txt,
^.*$,^.*$,^UD[A-Z][A-Z][0-9][0-9]$,open,an,upper_air,amdar,txt,
^.*$,^.*$,^U[EFKLMS][A-Z][A-Z][0-9][0-9]$,open,an,upper_air,temp_mobil,txt,^.* II(AA|BB|CC|DD) .*$
^.*$,^.*$,^U[EFKLMS][A-Z][A-Z][0-9][0-9]$,open,an,upper_air,temp_ship,txt,^.* UU(AA|BB|CC|DD) .*$
^.*$,^.*$,^U[EFKLMS][A-Z][A-Z][0-9][0-9]$,open,an,upper_air,temp,txt,
^.*$,^.*$,^U[GHIPQY][A-Z][A-Z][0-9][0-9]$,open,an,upper_air,pilot_mobil,txt,^.* EE(AA|BB|CC|DD) .*$
^.*$,^.*$,^U[GHIPQY][A-Z][A-Z][0-9][0-9]$,open,an,upper_air,pilot_ship,txt,^.* QQ(AA|BB|CC|DD) .*$
^.*$,^.*$,^U[GHIPQY][A-Z][A-Z][0-9][0-9]$,open,an,upper_air,pilot,txt,
^.*$,^.*$,^UN[A-Z][A-Z][0-9][0-9]$,open,an,upper_air,rocob_ship,txt,^.* SSXX .*$
^.*$,^.*$,^UN[A-Z][A-Z][0-9][0-9]$,open,an,upper_air,rocob,txt,
^.*$,^.*$,^UT[A-Z][A-Z][0-9][0-9]$,open,an,upper_air,codar,txt,
^.*$,^.*$,^UX[A-Z][A-Z][0-9][0-9]$,open,an,upper_air,miscellaneous_text,txt,
^.*$,^.*$,^UZ[A-Z][A-Z][0-9][0-9]$,open,an,upper_air,temp_drop,txt,
^.*$,^.*$,^WA[A-Z][A-Z][0-9][0-9]$,open,an,warning,airmet,txt,
^.*$,^.*$,^WC[A-Z][A-Z][0-9][0-9]$,open,an,warning,tropical_cyclone_sigmet,txt,
^.*$,^.*$,^WE[A-Z][A-Z][0-9][0-9]$,open,an,warning,tsunami_text,txt,
^.*$,^.*$,^WF[A-Z][A-Z][0-9][0-9]$,open,an,warning,tornado_text,txt,
^.*$,^.*$,^WG[A-Z][A-Z][0-9][0-9]$,open,an,warning,hydrological_flood_text,txt,
^.*$,^.*$,^WH[A-Z][A-Z][0-9][0-9]$,open,an,warning,marine_flood_text,txt,
^.*$,^.*$,^WO[A-Z][A-Z][0-9][0-9]$,open,an,warning,other_text,txt,
^.*$,^.*$,^WS[A-Z][A-Z][0-9][0-9]$,open,an,warning,sigmet,txt,
^.*$,^.*$,^WT[A-Z][A-Z][0-9][0-9]$,open,an,warning,tropical_cyclone_text,txt,
^.*$,^.*$,^WU[A-Z][A-Z][0-9][0-9]$,open,an,warning,severe_thunderstorm_text,txt,
^.*$,^.*$,^WV[A-Z][A-Z][0-9][0-9]$,open,an,warning,volcanic_ash_clouds_sigmet,txt,
^.*$,^.*$,^WW[A-Z][A-Z][0-9][0-9]$,open,an,warning,weather_summary_text,txt,
^.*$,^.*$,^.*$,open,unknown,unknown,unknown,bin,
